RET_COD;RET_LIB;TEC_COL
70;DIAGNOSTIC ASSOCIÉ SIGNIFICATIF : N'A JAMAIS EXISTÉ DANS LA CIM;0
71;DIAGNOSTIC ASSOCIÉ SIGNIFICATIF: N'EXISTE PLUS DANS LA CIM;0
73;ACTE : N'A JAMAIS EXISTÉ DANS LA CCAM;0
74;ACTE : N'EXISTE PLUS DANS LE CDAM NI DANS LA CCAM;0
76;NUMÉRO D'ENTITE JURIDIQUE NON NUMÉRIQUE;0
77;DATE D'ENTRÉE IMPROBABLE CAR TROP ANCIENNE;0
78;DATE D'ENTREE DU RUM INCOMPATIBLE AVEC UTILISATION D'UN ACTE CCAM;0
79;DATE DE SORTIE DU RUM INCOMPATIBLE AVEC UTILISATION D'UN ACTE CCAM;0
80;GROUPE MÉDICAL OBTENU PAR ÉVITEMENT DU GROUPE 901 (90C01Z);0
81;CODE POSTAL NON NUMÉRIQUE;0
82;POIDS D'ENTRÉE NON NUMÉRIQUE;0
83;ZONE RÉSERVÉE NON VIDE;0
84;DIAGNOSTIC PRINCIPAL INVRAISEMBLABLE CAR RARE;0
85;DIAGNOSTIC PRINCIPAL INVRAISEMBLABLE EN RAISON DE L'ÂGE;0
86;DIAGNOSTIC PRINCIPAL INCOMPATIBLE AVEC LE SEXE INDIQUÉ;0
87;DIAGNOSTIC PRINCIPAL IMPRECIS;0
88;DIAGNOSTIC PRINCIPAL EN « Z » INTERDIT;0
89;DIAGNOSTIC PRINCIPAL DE TYPE DAGUE;0
90;DIAGNOSTIC ASSOCIÉ SIGNIFICATIF INVRAISEMBLABLE CAR RARE;0
91;DIAGNOSTIC ASSOCIÉ SIGNIFICATIF INVRAISEMBLABLE EN RAISON DE L'ÂGE;0
92;DIAGNOSTIC ASSOCIÉ SIGNIFICATIF INCOMPATIBLE AVEC LE SEXE INDIQUÉ;0
93;DIAGNOSTIC ASSOCIÉ SIGNIFICATIF IMPRECIS;0
94;DIAGNOSTIC RELIÉ : N'A JAMAIS EXISTÉ DANS LA CIM;0
95;DIAGNOSTIC RELIÉ : N'EXISTE PLUS DANS LA CIM;0
96;DIAGNOSTIC RELIÉ INVRAISEMBLABLE CAR RARE;0
97;DIAGNOSTIC RELIÉ INVRAISEMBLABLE EN RAISON DE L'ÂGE;0
98;DIAGNOSTIC RELIÉ INCOMPATIBLE AVEC LE SEXE INDIQUÉ;0
99;DIAGNOSTIC RELIÉ IMPRECIS;0
