ATC4;Libellé ATC4
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES 
A01AB;ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL 
A01AC;CORTICOIDES POUR TRAITEMENT ORAL LOCAL 
A01AD;AUTRES MEDICAMENTS POUR TRAITEMENT ORAL LOCAL 
A02AA;ANTIACIDES A BASE DE MAGNESIUM 
A02AB;ANTIACIDES A BASE D'ALUMINIUM 
A02AC;ANTIACIDES A BASE DE CALCIUM 
A02AD;ASSOCIATIONS ET COMPLEXES A BASE D'ALUMINIUM, DE CALCIUM ET DE MAGNESIUM
A02AF;ANTIACIDES AVEC ANTIFLATULENTS 
A02AG;ANTIACIDES AVEC ANTISPASMODIQUES 
A02AH;ANTIACIDES AVEC BICARBONATE DE SODIUM 
A02AX;ANTIACIDES : AUTRES ASSOCIATIONS 
A02BA;ANTAGONISTES DES RECEPTEURS H2 
A02BB;PROSTAGLANDINES 
A02BC;INHIBITEURS DE LA POMPE A PROTONS 
A02BD;ASSOCIATIONS POUR L'ERADICATION D'HELICOBACTER PYLORI 
A02BX;AUTRES MEDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTROOESOPHAGIEN (RGO)
A02X;AUTRES MEDICAMENTS CONTRE LES TROUBLES DE L'ACIDITE
A03AA;ANTICHOLINERGIQUES DE SYNTHESE : ESTERS AVEC GROUPEMENT AMINE TERTIAIRE
A03AB;ANTICHOLINERGIQUES DE SYNTHESE : AMMONIUMS QUATERNAIRES 
A03AC;ANTISPASMODIQUES DE SYNTHESE : AMIDES AVEC GROUPEMENT AMINE TERTIAIRE
A03AD;PAPAVERINE ET DERIVES 
A03AE;MEDICAMENTS AGISSANT SUR LES RECEPTEURS DE LA SEROTONINE 
A03AX;AUTRES MEDICAMENTS POUR LES TROUBLES FONCTIONNELS INTESTINAUX 
A03BA;ALCALOIDES DE LA BELLADONE : AMINES TERTIAIRES 
A03BB;ALCALOIDES HEMISYNTHETIQUES DE LA BELLADONE : AMMONIUMS QUATERNAIRES
A03CA;ANTICHOLINERGIQUES DE SYNTHESE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES
A03CB;BELLADONE ET DERIVES EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES 
A03CC;AUTRES ANTISPASMODIQUES EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES 
A03DA;ANTICHOLINERGIQUES DE SYNTHESE EN ASSOCIATION AVEC DES ANALGESIQUES 
A03DB;BELLADONE ET DERIVES EN ASSOCIATION AVEC DES ANALGESIQUES 
A03DC;AUTRES ANTISPASMODIQUES EN ASSOCIATION AVEC DES ANALGESIQUES 
A03EA;ANTISPASMODIQUES, PSYCHOLEPTIQUES ET ANALGESIQUES EN ASSOCIATION 
A03ED;ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS 
A03FA;STIMULANTS DE LA MOTRICITE INTESTINALE 
A04AA;ANTAGONISTES DE LA SEROTONINE (5HT3) 
A04AD;AUTRES ANTIEMETIQUES 
A05AA;ACIDES BILIAIRES 
A05AB;MEDICAMENTS DU TRACTUS BILIAIRE 
A05AX;AUTRES MEDICAMENTS POUR LA THERAPEUTIQUE BILIAIRE 
A05BA;THERAPEUTIQUE HEPATIQUE 
A06AA;LAXATIFS LUBRIFIANTS 
A06AB;LAXATIFS STIMULANTS 
A06AC;LAXATIFS DE LEST 
A06AD;LAXATIFS OSMOTIQUES 
A06AG;LAVEMENTS 
A06AH;ANTAGONISTES DE RECEPTEURS
A06AX;AUTRES LAXATIFS 
A07AA;ANTIBIOTIQUES 
A07AB;SULFAMIDES 
A07AC;DERIVES IMIDAZOLES 
A07AX;AUTRES ANTIINFECTIEUX INTESTINAUX 
A07BA;PREPARATIONS A BASE DE CHARBON 
A07BB;PREPARATIONS A BASE DE BISMUTH 
A07BC;AUTRES ADSORBANTS INTESTINAUX 
A07CA;PREPARATIONS SALINES POUR REHYDRATATION ORALE 
A07DA;RALENTISSEURS DE LA MOTRICITE INTESTINALE 
A07EA;CORTICOIDES A ACTION LOCALE 
A07EB;ANTIALLERGIQUES, CORTICOIDES EXCLUS 
A07EC;ACIDE AMINOSALICYLIQUE ET ANALOGUES 
A07FA;MICROORGANISMES ANTIDIARRHEIQUES 
A07XA;AUTRES ANTIDIARRHEIQUES 
A08AA;MEDICAMENTS CONTRE L'OBESITE A ACTION CENTRALE 
A08AB;MEDICAMENTS CONTRE L'OBESITE A ACTION PERIPHERIQUE 
A08AX;AUTRES MEDICAMENTS CONTRE L’OBESITE 
A09AA;PREPARATIONS ENZYMATIQUES 
A09AB;PREPARATIONS ACIDES 
A09AC;ENZYMES ET PREPARATIONS ACIDES EN ASSOCIATION 
A10AB;INSULINES ET ANALOGUES D’ACTION RAPIDE POUR INJECTION 
A10AC;INSULINES ET ANALOGUES D'ACTION INTERMEDIAIRE POUR INJECTION 
A10AD;INSULINES ET ANALOGUES D’ACTION INTERMEDIAIRE ET À DEBUT D’ACTION RAPIDE POUR INJECTION
A10AE;INSULINES ET ANALOGUES D’ACTION LENTE POUR INJECTION 
A10AF;INSULINES ET ANALOGUES POUR INHALATION 
A10BA;BIGUANIDES 
A10BB;SULFAMIDES, DERIVES DE L'UREE 
A10BC;SULFAMIDES (HETEROCYCLES) 
A10BD;ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX 
A10BF;INHIBITEURS DE L'ALPHA GLUCOSIDASE 
A10BG;THIAZOLINEDIONES 
A10BH;INHIBITEURS DE LA DIPEPTIDYL PEPTIDASE 4 (DPP-4) 
A10BX;AUTRES MEDICAMENTS HYPOGLYCEMIANTS, INSULINES EXCLUSES 
A10XA;INHIBITEURS DE L'ALDOSE REDUCTASE 
A11AA;POLYVITAMINES AVEC ELEMENTS MINERAUX 
A11AB;POLYVITAMINES, AUTRES ASSOCIATIONS 
A11BA;POLYVITAMINES NON ASSOCIEES 
A11CA;VITAMINE A NON ASSOCIEE 
A11CB;VITAMINES A ET D EN ASSOCIATION 
A11CC;VITAMINE D ET ANALOGUES 
A11DA;VITAMINE B1, NON ASSOCIEE 
A11DB;VITAMINE B1 EN ASSOCIATION A LA VITAMINE B6 ET,OU A LA VITAMINE B12 
A11EA;COMPLEXE VITAMINIQUE B NON ASSOCIE 
A11EB;COMPLEXE VITAMINIQUE B AVEC VITAMINE C 
A11EC;COMPLEXE VITAMINIQUE B AVEC MINERAUX 
A11ED;COMPLEXE VITAMINIQUE B AVEC STEROIDES ANABOLISANTS 
A11EX;COMPLEXE VITAMINIQUE B, AUTRES ASSOCIATIONS 
A11GA;ACIDE ASCORBIQUE (VIT C), NON ASSOCIEE 
A11GB;ACIDE ASCORBIQUE (VIT C), ASSOCIATIONS 
A11HA;AUTRES PREPARATIONS VITAMINIQUES NON ASSOCIEES 
A11JA;ASSOCIATIONS DE VITAMINES 
A11JB;VITAMINES AVEC MINERAUX 
A11JC;VITAMINES, AUTRES ASSOCIATIONS 
A12AA;CALCIUM 
A12AX;CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES 
A12BA;DERIVES POTASSIQUES 
A12CA;SODIUM 
A12CB;ZINC 
A12CC;MAGNESIUM 
A12CD;FLUORURE 
A12CE;SELENIUM 
A12CX;AUTRES ELEMENTS MINERAUX 
A14AA;DERIVES DE L'ANDROSTANE 
A14AB;DERIVES DE L'OESTRONE 
A16A;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME
A16AA;ACIDES AMINES ET DERIVES 
A16AB;ENZYMES 
A16AX;DIVERS MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME 
B01AA;ANTIVITAMINES K 
B01AB;GROUPE DE L'HEPARINE 
B01AC;INHIBITEURS DE L'AGREGATION PLAQUETTAIRE, HEPARINE EXCLUE 
B01AD;ENZYMES 
B01AE;INHIBITEURS DIRECTS DE LA THROMBINE
B01AF;INHIBITEURES DIRECTS DU FACTEUR Xa
B01AX;AUTRES ANTITHROMBOTIQUES 
B02AA;ACIDES AMINES 
B02AB;INHIBITEURS DE PROTEINASES 
B02BA;VITAMINE K 
B02BB;FIBRINOGENE 
B02BC;HEMOSTATIQUES LOCAUX 
B02BD;FACTEURS DE LA COAGULATION SANGUINE 
B02BX;AUTRES HEMOSTATIQUES SYSTEMIQUES 
B03AA;FER BIVALENT, PREPARATIONS ORALES 
B03AB;FER TRIVALENT, PREPARATIONS ORALES 
B03AC;FER TRIVALENT, PREPARATIONS PARENTERALES 
B03AD;FER EN ASSOCIATION AVEC L'ACIDE FOLIQUE 
B03AE;FER DANS D'AUTRES ASSOCIATIONS 
B03BA;VITAMINE B12 (CYANOCOBALAMINE ET DERIVES) 
B03BB;ACIDE FOLIQUE ET DERIVES 
B03XA;AUTRES PREPARATIONS ANTIANEMIQUES 
B05AA;SUBSTITUTS DU SANG ET FRACTIONS PROTEIQUES PLASMATIQUES 
B05BA;SOLUTIONS POUR NUTRITION PARENTERALE 
B05BB;SOLUTIONS MODIFIANT LE BILAN ELECTROLYTIQUE 
B05BC;SOLUTIONS PRODUISANT UNE DIURESE OSMOTIQUE 
B05CA;ANTIINFECTIEUX 
B05CB;SOLUTIONS SALINES 
B05CX;AUTRES SOLUTIONS D'IRRIGATION 
B05DA;SOLUTIONS ISOTONIQUES 
B05DB;SOLUTIONS HYPERTONIQUES 
