ETB_CAT_RG1;ETB_CAT_RG2;ETB_CR1_LIB;TEC_COL
1101;11;CENTRES HOSPITALIERS REGIONAUX;0
1102;11;CENTRES HOSPITALIERS;0
1103;11;CENTRES HOSPITALIERS SPECIALISES EN PSYCHIATRIE;0
1104;11;AUTRES CENTRES HOSPITALIERS SPECIALISES;0
1106;11;HOPITAUX LOCAUX;0
1107;11;CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES;0
1108;11;CENTRES DE MOYEN ET LONG SEJOUR;0
1109;11;CENTRES DE LONG SEJOUR;0
1110;11;AUTRES ETABLISSEMENTS DE SOINS AIGUS (PSYCHIATRIE EXCLUE);0
1111;11;AUTRES ETABLISSEMENTS DE LUTTE CONTRE LES MALADIES MENTALES;0
1112;11;ETABLISSEMENTS  D  ENFANTS A CARACTERE SANITAIRE;0
1113;11;ETABLISSEMENTS DE LUTTE CONTRE L ALCOOLISME ET LES TOXICOMANIES;0
1114;11;CENTRE CONVENTIONNE SOINS SPECIALISES POUR TOXICOMANES;0
1201;12;TRAITEMENT ET SOINS A DOMICILE;0
1203;12;DIALYSE AMBULATOIRE;0
1204;12;URGENCE ET REANIMATION;0
1205;12;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;0
2100;21;CABINETS LIBERAUX (SCANNER ET IRMN);0
2201;22;Dispensaires ou Centres de Soins;0
2202;22;ETABLISSEMENTS DE PMI ET DE PLANIFICATION FAMILIALE;0
2204;22;ETABLISSEMENTS NON LOI HOSPITALIERE;0
2206;22;CENTRES DE SANTE;0
3401;34;TRANSFUSION SANGUINE;0
3402;34;CONSERVATION ET STOCKAGE D AUTRES PRODUITS HUMAINS;0
3403;34;STRUCTURES ET FILIERES DE SOINS SOUBIE;0
3404;34;STRUCTURES ET FILIERES DE SOINS HORS SOUBIE;0
4101;41;ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS MENTAUX ET POLYHANDICAPES;0
4102;41;ETABLISSEMENTS EDUCATION SPECIALE POUR ENFANTS ATTEINTS DE TROUBLE DE LA CONDUITE ET DU COMPORTEMENT;0
4103;41;ETABLISSEMENTS  EDUCATION SPECIALE POUR HANDICAPES MOTEURS;0
4104;41;ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS SENSORIELS;0
4105;41;ETABLISSEMENTS ET SERVICES D  HEBERGEMENT POUR HANDICAPES;0
4106;41;SERVICES A DOMICILE OU AMBULATOIRE POUR HANDICAPES;0
4107;41;ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DE L ENFANCE HANDICAPEE;0
4301;43;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;0
4302;43;ETABLISSEMENTS ET SERVICES DE TRAVAIL PROTEGE POUR ADULTES HANDICAPES;0
4303;43;ETABLISSEMENTS ET SERVICES DE REINSERTION PROFESSIONNELLE POUR ADULTES HANDICAPES;0
4304;43;ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES ADULTES HANDICAPES;0
4401;44;ETABLISSEMENT D HEBERGEMENT;0
4402;44;SERVICES SANITAIRES DE MAINTIEN A DOMICILE;0
4404;44;ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES PERSONNES AGEES;0
4501;45;ETABLISSEMENT DE L AIDE A L  ENFANCE;0
4601;46;ETABLISSEMENTS POUR ADULTES EN DIFFICULTE;0
4603;46;ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES ADULTES;0
4604;46;AUTRES ETABLISSEMENTS D ACCUEIL;0
4605;46;ETABLISSEMENTS ET SERVICES MULTI- CLIENTELE;0
4606;46;CENTRE DE RESSOURCES;0
9999;99;VALEUR INCONNUE;1
2103;21;AUTRES STRUCTURES D'EXERCICE LIBERAL;0
