ATC5;Libelle ATC5
A01A;PREPARATIONS STOMATOLOGIQUES
A01AA01;SODIUM FLUORURE
A01AA02;SODIUM MONOFLUOROPHOSPHATE
A01AA51;SODIUM FLUORURE EN ASSOCIATION
A01AB03;CHLORHEXIDINE
A01AB09;MICONAZOLE
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES)
A01AD;NIFLUMIQUE ACIDE
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES)
A02AB01;ALUMINIUM HYDROXYDE
A02AB03;ALUMINIUM PHOSPHATE
A02AD01;ASSOCIATIONS DE SELS
A02AG;ANTIACIDES AVEC ANTISPASMODIQUES
A02AX;ANTIACIDES : AUTRES ASSOCIATIONS
A02BA01;CIMETIDINE
A02BA02;RANITIDINE
A02BA03;FAMOTIDINE
A02BA04;NIZATIDINE
A02BB01;MISOPROSTOL
A02BC01;OMEPRAZOLE
A02BC02;PANTOPRAZOLE
A02BC03;LANSOPRAZOLE
A02BC04;RABEPRAZOLE
A02BC05;ESOMEPRAZOLE
A02BD08;BISMUTH POTASSIQUE, TETRACYCLINE ET METRONIDAZOLE
A02BX02;SUCRALFATE
A02BX13;ALGINIQUE ACIDE EN ASSOCIATION AVEC ANTIACIDES
A02X;AUTRES MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE
A03AA04;MEBEVERINE
A03AA05;TRIMEBUTINE
A03AA08;DIHEXYVERINE
A03AX04;PINAVERIUM
A03AX12;PHLOROGLUCINOL
A03AX13;DIMETICONE (SILICONES)
A03AX58;ALVERINE EN ASSOCIATION
A03BA01;ATROPINE
A03BB01;BUTYLSCOPOLAMINE
A03CA02;CLIDINIUM ET PSYCHOLEPTIQUES
A03ED;ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS
A03FA01;METOCLOPRAMIDE
A03FA02;CISAPRIDE
A03FA03;DOMPERIDONE
A03FA05;ALIZAPRIDE
A04AA01;ONDANSETRON
A04AA02;GRANISETRON
A04AA03;TROPISETRON
A04AD01;SCOPOLAMINE
A04AD05;METOPIMAZINE
A04AD12;APREPITANT
A05A;THERAPEUTIQUE BILIAIRE
A05AA02;URSODESOXYCHOLIQUE ACIDE
A05AX;AUTRE MEDICAMENT POUR LA THERAPEUTIQUE BILIAIRE
A05AX02;HYMECROMONE
A05BA;THERAPEUTIQUE HEPATIQUE
A05BA03;SILYMARINE
A05BA06;ORNITHINE OXOGLUTARATE
A05C;MEDICAMENTS POUR THERAPEUTIQUE BILIAIRE ET LIPOTROPIQUES EN ASSOCIATION
A06AA01;HUILE DE PARAFFINE
A06AA51;HUILE DE PARAFFINE EN ASSOCIATION
A06AB20;LAXATIFS STIMULANTS EN ASSOCIATION
A06AB56;GLYCOSIDES DE SENE EN ASSOCIATION
A06AB58;PICOSULFATE DE SODIUM, ASSOCIATIONS
A06AC01;ISPAGHUL (GRAINE DE PSYLLIUM)
A06AC03;STERCULIA
A06AC51;ISPAGHUL EN ASSOCIATION
A06AC53;STERCULIA EN ASSOCIATION
A06AD10;SELS MINERAUX EN ASSOCIATION
A06AD11;LACTULOSE
A06AD12;LACTITOL
A06AD14;PENTAERITHRITYL
A06AD15;MACROGOL
A06AD18;SORBITOL
A06AD61;LACTULOSE EN ASSOCIATION
A06AD65;MACROGOL EN ASSOCIATION
A06AG20;ASSOCIATIONS
A06AH01;METHYLNALTREXONE BROMURE
A06AX02;MEDICAMENTS PRODUISANT DE L'ANHYDRIDE CARBONIQUE
A07AA02;NYSTATINE
A07AA10;COLISTINE
A07AX03;NIFUROXAZIDE
A07BA51;CHARBON MEDICINAL EN ASSOCIATION
A07BC02;KAOLIN
A07BC04;ATTAPULGITE
A07BC30;ASSOCIATIONS
A07DA03;LOPERAMIDE
A07EA02;HYDROCORTISONE
A07EA04;BETAMETHASONE
A07EA06;BUDESONIDE
A07EB01;CROMOGLICIQUE ACIDE
A07EC;ACIDE AMINOSALICYLIQUE ET ANALOGUES
A07EC01;SULFASALAZINE
A07EC02;MESALAZINE
A07EC03;OLSALAZINE
A07FA01;MICROORGANISMES PRODUISANT DE L'ACIDE LACTIQUE
A07FA02;SACCHAROMYCES BOULARDII
A07XA04;RACECADOTRIL
A09AA01;DIASTASE
A09AA02;MULTIENZYMES (LIPASE, PROTEASE...)
A10AB01;INSULINE HUMAINE
A10AB04;INSULINE LISPRO
A10AB05;INSULINE ASPART
A10AB06;INSULINE GLULISINE
A10AC01;INSULINE HUMAINE
A10AC04;INSULINE LISPRO (PROTAMINE)
A10AD01;INSULINE HUMAINE
A10AD04;INSULINE LISPRO
A10AD05;INSULINE ASPART
A10AE04;INSULINE GLARGINE
A10AE05;INSULINE DETEMIR
A10AE56;INSULINE DEGLUDEC ET LIRAGLUTIDE
A10BA02;METFORMINE
A10BB01;GLIBENCLAMIDE
A10BB04;GLIBORNURIDE
A10BB07;GLIPIZIDE
A10BB09;GLICLAZIDE
A10BB12;GLIMEPIRIDE
A10BD02;METFORMINE ET SULFAMIDES
A10BD03;METFORMINE ET ROSIGLITAZONE
A10BD05;METFORMINE ET PIOGLITAZONE
A10BD07;METFORMINE ET SITAGLIPTINE
A10BD08;METFORMINE ET VILDAGLIPTINE
A10BD10;METFORMINE ET SAXAGLIPTINE
A10BF01;ACARBOSE
A10BF02;MIGLITOL
A10BG03;PIOGLITAZONE
A10BH01;SITAGLIPTINE
A10BH02;VILDAGLIPTINE
A10BH03;SAXAGLIPTINE
A10BX02;REPAGLINIDE
A10BX04;EXENATIDE
A10BX07;LIRAGLUTIDE
A10BX14;DULAGLUTIDE
A11BA;POLYVITAMINES NON ASSOCIEES
A11CA01;RETINOL (VIT A)
