GM7_GHM_COD;CMD_COD;GHM_LIB;TEC_COL
581;17;Interventions majeures pour affections myéloprolifératives ou tumeurs de siège imprécis ou diffus, avec CMA;0
582;17;Interventions majeures pour affections myéloprolifératives ou tumeurs de siège imprécis ou diffus, sans CMA;0
583;17;Autres interventions au cours d'affections myéloprolifératives ou tumeurs de siège imprécis ou diffus;0
584;27;!** Greffes de moelle;0
427;10;Affections endocriniennes, métaboliques et nutritionnelles, avec CMAS;0
429;27;Transplantations rénales;0
515;13;Dilatations et curetages, conisations pour des affections non malignes;0
516;13;Autres interventions sur l'appareil génital féminin;0
524;13;Tumeurs malignes de l'appareil génital féminin, âge supérieur à 69 ans et/ou CMA;0
366;9;Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites avec CMA;0
367;9;Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites sans CMA;0
368;9;Mastectomies totales pour tumeur maligne, âge supérieur à 69 ans et/ou CMA;0
369;9;Mastectomies totales pour tumeur maligne, âge inférieur à 70 ans sans CMA;0
370;9;Mastectomies subtotales pour tumeur maligne, âge supérieur à 69 ans et/ou CMA;0
371;9;Mastectomies subtotales pour tumeur maligne, âge inférieur à 70 ans sans CMA;0
372;9;Interventions sur le sein pour des affections non malignes autres que les actes de biopsie et d'excision locale;0
373;9;Biopsies et excisions locales pour des affections non malignes du sein;0
374;9;Interventions sur la région anale et périanale;0
375;9;Interventions plastiques;0
376;9;Autres interventions sur la peau, les tissus sous-cutanés ou les seins, âge supérieur à 69 ans et/ou CMA;0
377;9;Autres interventions sur la peau, les tissus sous-cutanés ou les seins, âge inférieur à 70 ans sans CMA;0
385;9;Ulcères cutanés;0
259;6;Autres affections digestives, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
260;6;Autres affections digestives, âge de 18 à 69 ans sans CMA;0
261;6;Autres affections digestives, âge inférieur à 18 ans;0
153;5;Chirurgie de remplacement valvulaire avec circulation extracorporelle, sans cathétérisme cardiaque, ni coronarographie;0
154;5;Pontages aorto-coronariens avec cathétérisme cardiaque ou coronarographie;0
155;5;Pontages aorto-coronariens sans cathétérisme cardiaque, ni coronarographie;0
156;5;*** Autres interventions cardio-thoraciques ou vasculaires avec circulation extracorporelle;0
157;5;*** Autres interventions cardio-thoraciques sans circulation extracorporelle;0
158;5;Chirurgie majeure de revascularisation, âge supérieur à 69 ans et/ou CMA;0
159;5;Chirurgie majeure de revascularisation, âge inférieur à 70 ans sans CMA;0
160;5;Autres interventions de chirurgie vasculaire;0
161;5;Amputations du membre inférieur, sauf des orteils, pour troubles circulatoires;0
162;5;Amputations pour troubles circulatoires portant sur le membre supérieur ou les orteils;0
163;5;Pose d'un stimulateur cardiaque permanent avec infarctus aigu du myocarde ou insuffisance cardiaque congestive ou état de choc;0
164;5;Pose d'un stimulateur cardiaque permanent sans infarctus aigu du myocarde, ni insuffisance cardiaque congestive, ni état de choc;0
165;5;*** Remplacement ou ablation chirurgicale d'électrode de stimulation cardiaque à l'exception des remplacements isolés du boîtier;0
166;5;Remplacement ou ablation chirurgicale d'électrodes ou de boîtier de stimulation cardiaque permanente;0
167;5;Ligatures de veines et éveinages;0
168;5;Autres interventions sur le système circulatoire;0
169;5;Autres interventions cardiothoraciques, âge inférieur à 2 ans, avec circulation extracorporelle;0
386;9;Affections dermatologiques sévères, âge supérieur à 69 ans et/ou CMA;0
387;9;Affections dermatologiques sévères, âge inférieur à 70 ans sans CMA;0
388;9;Tumeurs malignes des seins, âge supérieur à 69 ans et/ou CMA;0
389;9;Tumeurs malignes des seins, âge inférieur à 70 ans sans CMA;0
390;9;Affections non malignes des seins;0
123;4;Traumatismes thoraciques majeurs, âge supérieur à 69 ans et/ou CMA;0
124;4;Traumatismes thoraciques majeurs, âge inférieur à 70 ans sans CMA;0
125;4;Épanchements pleuraux, âge supérieur à 69 ans et/ou CMA;0
126;4;Épanchements pleuraux, âge inférieur à 70 ans sans CMA;0
127;4;oedème pulmonaire et détresse respiratoire;0
128;4;Bronchopneumopathies chroniques;0
129;4;Pneumonies et pleurésies banales, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
130;4;Pneumonies et pleurésies banales, âge de 18 à 69 ans sans CMA;0
131;4;Pneumonies et pleurésies banales, âge inférieur à 18 ans;0
132;4;Maladies pulmonaires interstitielles, âge supérieur à 69 ans et/ou CMA;0
133;4;Maladies pulmonaires interstitielles, âge inférieur à 70 ans sans CMA;0
134;4;Pneumothorax, âge supérieur à 69 ans et/ou CMA;0
135;4;Pneumothorax, âge inférieur à 70 ans sans CMA;0
136;4;Bronchites et asthme, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
137;4;Bronchites et asthme, âge de 18 à 69 ans sans CMA;0
138;4;Bronchites et asthme, âge inférieur à 18 ans;0
139;4;Signes et symptômes respiratoires, âge supérieur à 69 ans et/ou CMA;0
140;4;Signes et symptômes respiratoires, âge inférieur à 70 ans sans CMA;0
141;4;Autres diagnostics portant sur le système respiratoire, âge supérieur à 69 ans et/ou CMA;0
142;4;Autres diagnostics portant sur le système respiratoire, âge inférieur à 70 ans sans CMA;0
170;5;Autres interventions cardiothoraciques, âge supérieur à 1 an, ou vasculaires quel que soit l'âge, avec circulation extracorporelle;0
171;5;Autres interventions cardiothoraciques, âge inférieur à 2 ans, sans circulation extracorporelle;0
802;24;@Affections de la CMD n°02 : ambulatoire, sans acte opératoire de la CMD n°02;0
803;24;@Affections de la CMD n°03 : ambulatoire, sans acte opératoire de la CMD n°03;0
804;24;@Affections de la CMD n°04 : ambulatoire, sans acte opératoire de la CMD n°04;0
805;24;@Affections de la CMD n°05 : ambulatoire, sans acte opératoire de la CMD n°05;0
806;24;@Affections de la CMD n°06 : ambulatoire, sans acte opératoire de la CMD n°06;0
807;24;@Affections de la CMD n°07 : ambulatoire, sans acte opératoire de la CMD n°07;0
808;24;@Affections de la CMD n°08 : ambulatoire, sans acte opératoire de la CMD n°08;0
809;24;@Affections de la CMD n°09 : ambulatoire, sans acte opératoire de la CMD n°09;0
810;24;@Affections de la CMD n°10 : ambulatoire, sans acte opératoire de la CMD n°10;0
811;24;@Affections de la CMD n°11 : ambulatoire, sans acte opératoire de la CMD n°11;0
812;24;@Affections de la CMD n°12 : ambulatoire, sans acte opératoire de la CMD n°12;0
813;24;@Affections de la CMD n°13 : ambulatoire, sans acte opératoire de la CMD n°13;0
814;24;@Affections de la CMD n°14 : ambulatoire, sans acte opératoire de la CMD n°14;0
815;24;@Affections de la CMD n°15 : ambulatoire;0
816;24;@Affections de la CMD n°16 : ambulatoire, sans acte opératoire de la CMD n°16;0
817;24;@Affections de la CMD n°17 : ambulatoire, sans acte opératoire;0
818;24;@Affections de la CMD n°18 : ambulatoire, sans acte opératoire;0
819;24;@Affections de la CMD n°19 : ambulatoire, sans acte opératoire;0
820;24;@Affections de la CMD n°20 : ambulatoire;0
453;11;Tumeurs des reins et des voies urinaires, âge inférieur à 70 ans sans CMA;0
454;11;Infections des reins et des voies urinaires, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
455;11;Infections des reins et des voies urinaires, âge de 18 à 69 ans sans CMA;0
310;8;Résections osseuses localisées et/ou ablation de matériel de fixation interne au niveau d'une localisation autre que la hanche et le fémur;0
311;8;Interventions sur le membre supérieur à l'exception de l'humérus et de la main, âge supérieur à 69 ans et/ou CMA;0
305;8;Interventions sur l'humérus ou sur le membre inférieur à l'exception de la hanche, du fémur et du pied, âge de 18 à 69 ans sans CMA;0
306;8;Interventions sur l'humérus ou sur le membre inférieur à l'exception de la hanche, du fémur et du pied, âge inférieur à 18 ans;0
307;8;Interventions sur le genou, âge supérieur à 69 ans et/ou CMA;0
308;8;Interventions sur le genou, âge inférieur à 70 ans sans CMA;0
309;8;Résections osseuses localisées et/ou ablation de matériel de fixation interne au niveau de la hanche et du fémur;0
212;6;Résections rectales, âge inférieur à 70 ans sans CMA;0
213;6;Interventions majeures sur l'intestin grêle et le côlon, âge supérieur à 69 ans et/ou CMA;0
214;6;Interventions majeures sur l'intestin grêle et le côlon, âge inférieur à 70 ans sans CMA;0
215;6;Interventions sur l'oesophage, l'estomac et le duodénum, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
216;6;Interventions sur l'oesophage, l'estomac et le duodénum, âge de 18 à 69 sans CMA;0
217;6;Interventions sur l'oesophage, l'estomac et le duodénum, âge inférieur à 18 ans;0
218;6;Libérations d'adhérences péritonéales, âge supérieur à 69 ans et/ou CMA;0
219;6;Libérations d'adhérences péritonéales, âge inférieur à 70 ans sans CMA;0
143;4;Interventions pour affections de l'appareil respiratoire, avec CMAS;0
150;5;Endoprothèses coronariennes et vasculaires périphériques;0
151;27;Transplantations cardiaques;0
152;5;Chirurgie de remplacement valvulaire avec circulation extracorporelle et avec cathétérisme cardiaque ou coronarographie;0
52;2;Autres interventions extra-oculaires, âge supérieur à 17 ans;0
652;21;Complications iatrogéniques non classées ailleurs, âge supérieur à 69 ans et/ou CMA;0
653;21;Complications iatrogéniques non classées ailleurs, âge inférieur à 70 ans sans CMA;0
654;21;Autres traumatismes et effets nocifs autres que les intoxications, âge supérieur à 69 ans et/ou CMA;0
655;21;Autres traumatismes et effets nocifs autres que les intoxications, âge inférieur à 70 ans sans CMA;0
656;26;Interventions pour traumatismes multiples graves, avec CMAS;0
657;26;Interventions pour traumatismes multiples graves, sans CMAS;0
658;26;Traumatismes multiples graves, avec CMAS;0
659;26;Traumatismes multiples graves, sans CMAS;0
660;22;Brûlures non étendues avec greffe cutanée;0
661;22;Brûlures non étendues avec parages de plaie ou autres interventions chirurgicales;0
662;22;Brûlures avec transfert précoce vers un autre établissement;0
663;22;Brûlures étendues;0
664;22;Brûlures non étendues sans intervention chirurgicale;0
669;23;Interventions chirurgicales avec autres motifs de recours aux services de santé;0
670;23;Rééducation;0
671;23;Signes et symptômes avec CMA;0
672;23;Signes et symptômes sans CMA;0
673;23;Suivi thérapeutique avec antécédent d'affections malignes;0
674;23;Suivi thérapeutique sans antécédent d'affections malignes;0
675;23;Autres facteurs influant sur l'état de santé;0
680;24;Épuration extra-rénale, en séances;0
681;24;Chimiothérapie pour tumeur, en séances;0
682;24;*** Radiothérapie;0
683;24;!** Autres séances avec acte opératoire;0
548;14;Affections de l'ante partum, avec ou sans intervention chirurgicale, avec complications;0
549;14;Affections de l'ante partum, avec ou sans intervention chirurgicale, sans complications;0
556;15;*** Nouveau-nés décédés ou transférés;0
557;15;*** Immaturité extrême ou détresses respiratoires;0
558;15;*** Prématurité avec problèmes majeurs;0
559;15;*** Prématurité sans problème majeur;0
560;15;*** Nouveau-nés à terme avec problèmes majeurs;0
561;15;*** Nouveau-nés avec d'autres problèmes significatifs;0
562;15;*** Nouveau-nés normaux;0
564;27;Allogreffes de cellules souches hématopoïétiques;0
394;9;Traumatismes de la peau et des tissus sous-cutanés, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
395;9;Traumatismes de la peau et des tissus sous-cutanés, âge de 18 à 69 ans sans CMA;0
396;9;Traumatismes de la peau et des tissus sous-cutanés, âge inférieur à 18 ans;0
397;9;Autres affections dermatologiques, âge supérieur à 69 ans et/ou CMA;0
398;9;Autres affections dermatologiques, âge inférieur à 70 ans sans CMA;0
404;10;*** Amputations au niveau des membres inférieurs pour troubles endocriniens, métaboliques ou nutritionnels;0
405;10;!** Interventions sur l'hypophyse ou les glandes surrénales;0
406;10;*** Greffes cutanées et parages de plaies pour troubles endocriniens, métaboliques ou nutritionnels;0
407;10;Interventions pour obésité;0
408;10;Interventions sur les parathyroïdes;0
409;10;Interventions sur la thyroïde;0
410;10;Interventions sur le tractus thyréoglosse;0
411;10;Autres interventions pour troubles endocriniens, métaboliques ou nutritionnels, âge supérieur à 69 ans et/ou CMA;0
412;10;Autres interventions pour troubles endocriniens, métaboliques ou nutritionnels, âge inférieur à 70 ans sans CMA;0
413;10;Interventions sur l'hypophyse;0
821;24;@Affections de la CMD n°21 : ambulatoire, sans acte opératoire de la CMD n°21;0
822;24;@Affections de la CMD n°22 : ambulatoire, sans acte opératoire de la CMD n°22;0
823;24;@Motifs de recours de la CMD n°23 : ambulatoire, sans acte opératoire;0
827;24;@Greffes d'organes : ambulatoire, sans acte opératoire de la CMD n°27;0
482;12;Circoncision, âge supérieur à 17 ans;0
483;12;Circoncision, âge inférieur à 18 ans;0
484;12;Autres interventions pour tumeurs malignes de l'appareil génital masculin;0
485;12;Autres interventions pour des affections non malignes de l'appareil génital masculin;0
494;12;Tumeurs malignes de l'appareil génital masculin, âge supérieur à 69 ans et/ou CMA;0
495;12;Tumeurs malignes de l'appareil génital masculin, âge inférieur à 70 ans sans CMA;0
496;12;Hypertrophie prostatique bénigne, âge supérieur à 69 ans et/ou CMA;0
497;12;Hypertrophie prostatique bénigne, âge inférieur à 70 ans sans CMA;0
498;12;Infections et inflammations de l'appareil génital masculin;0
499;12;*** Stérilisation masculine;0
500;12;Autres affections de l'appareil génital masculin;0
501;12;Interventions pour affections de l'appareil génital masculin, avec CMAS;0
504;13;Exentérations pelviennes, hystérectomies élargies ou vulvectomies;0
505;13;Hystérectomies, âge supérieur à 69 ans et/ou CMA;0
506;13;Hystérectomies, âge inférieur à 70 ans sans CMA;0
507;13;Interventions réparatrices sur l'appareil génital féminin;0
508;13;Interventions sur le système utéro-annexiel pour des tumeurs malignes;0
509;13;Interventions sur le système utéro-annexiel pour des affections non malignes, autres que les interruptions tubaires;0
510;13;Interruptions tubaires pour des affections non malignes;0
