sc2;LIB_sc2
1_1_1;DM POUR TRAITEMENT DES MALADIES RESPIRATOIRES ET OTO-RHINO-LARYNGOLOGIQUE
1_1_2;DM ET PREST. ASSOCIES DE PERF A DOMICILE (HORS INSULINITHERAPIE)
1_1_3;DM POUR AUTO-TRAITEMENT, AUTO-CONTROLE ET AUTO-MESURE
1_1_4;DM POUR TRAIT. INCONTINENCE, TROUBLES COLORECTAUX ET POUR APPAREIL UROLOG
1_1_5;PRODUITS POUR NUTRITION OU REHYDRATATION ET MATERIELS D ADMINISTRATION
1_1_6;DM DE PREVENTION, DE TRAITEMENT ET DE MAINTIEN POUR L APPAREIL LOCOMOTEUR
1_1_7;DM POUR AUTRES TRAITEMENTS ET ARTICLES DIVERS
1_1_8;CODES RADIES
1_2_1;LITS ET MATERIELS POUR LITS
1_2_2;DM ET MATERIELS D AIDE A LA VIE
1_3_1;ARTICLES POUR PANSEMENTS
1_3_2;MATERIELS DE CONTENTION ET DE COMPRESSION VASCULAIRES
1_3_3;ARTICLES POUR PANSEMENTS (ancienne nomeclature)
1_4_0;ACCESSOIRES DE PRODUITS INSCRITS AU TITRE III
1_5_0;CODES ARRIVES A ECHEANCE
2_1_10;VETEMENTS COMPRESSIFS SUR MESURE POUR GRANDS BRULES
2_1_2;ORTHESES PLANTAIRES
2_1_3;COQUES TALONNIERES
2_1_6;COLLIERS CERVICAUX
2_1_7;APPAREILS DIVERS DE CORRECTION ORTHOPEDIQUE
2_1_8;CHAUSSURES THERAPEUTIQUES DE SERIE (CHTS)
2_1_9;APPAREIL DE MARCHE MONTE SUR CHAUSSURE DE SERIE NON THERAPEUTIQUES
2_2_1;LUNETTES
2_2_2;LENTILLES DE CONTACT
2_2_3;MATERIELS POUR AMBLYOPIE
2_3_1;AUDIOPROTHESES, PATIENTS AU-DELA DU 20EME ANNIVERSAIRE
2_3_2;AUDIOPROTHESES, PATIENTS JUSQU AU 20EME ANNIVERSAIRE OU ATTEINTS DE CE
2_3_3;AUDIOPROTHESES, ENTRETIEN ET REPARATION
2_3_4;ENTRETIEN ET REPARATIONS (PROCESSEURS IMPLANTS COCHLEAIRES ET DU TRONC
2_3_5;PROCESSEURS,ACCES.REPARATIONS PR PROTHESES AUDIT. OSTEO-INTEGREES IMPL
2_4_1;PROTHESES MAMMAIRES EXTERNES
2_4_2;CANULES TRACHEALES
2_4_3;AERATEURS TRANSTYMPANIQUES
2_4_4;PROTHESES VOCALES
2_4_5;PROTHESES RESPIRATOIRES POUR TRACHEOSTOMIE
2_4_6;ORTHESE D AVANCEE MANDIBULAIRE (OAM)
2_5_1;PROTHESES OCULAIRES
2_5_2;PROTHESES FACIALES
2_5_3;FRAIS D EXPEDITION ET FRAIS ACCESSOIRES
2_6_1;CHAUSSURES ORTHOPEDIQUES DITES CHAUSSURES THERAPEUTIQUES SUR MESURE
2_6_2;APPAREIL PODO-JAMBIER SPECIAL SUR MOULAGE
2_6_3;REPARATIONS, FRAIS D EXPEDITION ET FRAIS ACCESSOIRES
2_6_4;MOULAGE
3_1_1;IMPLANTS CARDIAQUES ET VASCULAIRES
2_3_10;AUDIOPROTHESES, PATIENTS AU-DELA DU 20EME ANNIVERSAIRE
2_3_7;AIDE AUDITIVE POUR LES PERSONNES AU-DELA DE LEUR 20EME ANNIVERSAIRE
2_3_8;AIDES AUDITIVES-PERSONNES <= 20 ANS OU PERSONNES ATTEINTES DE CECITE
3_1_11;PROTHESES AUDITIVES OSTEO-INTEGREES
3_1_12;CODES RADIES
3_1_2;IMPLANTS DIGESTIFS
3_1_3;IMPLANTS ORTHOPEDIQUES
3_1_5;IMPLANTS NEUROLOGIQUES
3_1_6;IMPLANTS ORL
3_1_7;IMPLANTS DE PLASTIE ENDOCANALAIRE DITS STENT
3_1_8;IMPLANTS MAMMAIRES
3_2_1;IMPLANTS CARDIOVASCULAIRES
3_2_2;IMPLANTS ORTHOPEDIQUES
3_3_1;GREFFONS OSSEUX
3_3_2;GREFFONS VASCULAIRES
3_4_1;STIMULATEURS CARDIAQUES
3_4_12;STIMULATEURS CARDIAQUES
3_4_2;SONDES DE STIMULATION CARDIAQUE IMPLANTABLES
3_4_3;POMPES IMPLANTABLES
3_4_4;NEUROMODULATEUR DES RACINES SACREES (S3), IMPLANTABLE
3_4_5;NEUROSTIMULATEUR MEDULLAIRE IMPLANTABLE
3_4_6;MONITEURS ECG IMPLANTABLES
3_4_7;SYSTEME DE TELESURVEILLANCE POUR DEFIBRILLATEUR CARDIAQUE IMPLANTABLE
3_4_8;SONDES DE DEFIBRILLATION CARDIAQUE
4_1_1;FAUTEUILS ROULANTS A PROPULSION MANUELLE
4_1_2;FAUTEUILS ROULANTS A PROPULSION PAR MOTEUR ELECTRIQUE
4_1_3;FAUTEUILS ROULANTS VERTICALISATEURS
4_2_1;POUSSETTES ET FAUTEUILS ROULANTS A POUSSER
4_2_2;TRICYCLES A PROPULSION MANUELLE OU PODALE
4_3_1;ADJONCTIONS ET/OU OPTIONS APPLICABLES AUX FAUTEUILS ROULANTS
4_3_2;REPARATIONS APPLICABLES AUX FAUTEUILS ROULANTS
4_3_3;ADJONCTIONS ET/OU OPTIONS AUX VEHICULES DIVERS
4_3_4;REPARATIONS APPLICABLES AUX VEHICULES DIVERS
5_2_1;BALLONS ACTIFS PERIPHERIQUES
9_1_1;APPAREIL GENERATEUR D AEROSOL
9_2_1;ORTHESES (PETIT APPAREILLAGE) (CHAP.1)
9_3_1;ORTHOPROTHESES(CHAP.7)
3_1_10;IMPLANTS CARDIAQUES ET VASCULAIRES
3_1_13;IMPLANTS DIGESTIFS
3_4_10;STIMULATEURS CARDIAQUES
4_2_3;SCOOTER ELECTRIQUE MODULAIRE
5_1_1;STENTS RETRIEVERS
5_1_2;SYSTEME DE THROMBO-ASPIRATION
5_2_2;GUIDES DE MESURE DE LA FRACTION DU FLUX DE RESERVE CORONARIEN (FFR)
5_2_3;TITRE 5 : DISPOSITIFS MEDICAUX INVASIFS NON ELIGIBLES AU TITRE III
3_1_9;CODES RADIES (GHS)
3_5_0;CODES ARRIVES A ECHEANCE
